"","ID","Quadrant","Teilquadrant","Ortsnummer","Ortsbuchstaben","Ortsname","Kreis","Land","I","II","III","IV","comment","RES_1st_run","Ortsname_old","Stadt.oder.Gemeinde.oder.Landkreis","x","y","res","prev","x_new","y_new","cor"
"202",286,"124",29,5,"au","Heisterberg","Dillkreis","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",440274.060899571,5612290.62077748,"detected","",440274.0609,5612290.621,""
"788",287,"124",29,8,"a","Waigandshain","Oberwesterwaldkreis","Hessen-Nassau",NA,NA,NA,"j",NA,"detected","","",435130.035955641,5610761.50216421,"detected","",435130.036,5610761.502,""
"1011",288,"124",29,12,"al","Neustadt","Oberwesterwaldkreis","Hessen-Nassau","j","j","j",NA,NA,"not detected","Neustadt","Westerwald",999,999,"not detected","",999,999,""
"203",289,"124",29,15,"ad","Mademühlen","Dillkreis","Hessen-Nassau","j","j","j","j",NA,"detected","","",440758.920782232,5608281.59545152,"detected","",440758.9208,5608281.595,""
"832",290,"124",29,17,"bd","Rennerod","Oberwesterwaldkreis","Hessen-Nassau",NA,NA,"j",NA,NA,"detected","","",433924.358919917,5606550.53746165,"detected","",433924.3589,5606550.537,""
"1241",291,"124",30,3,"d","Hirschberg","Dillkreis","Hessen-Nassau","j","j","j",NA,NA,"detected","","",999,999,"not an unique name","prev. not unique",448421.3147,5611258.773,"found"
"204",292,"124",30,4,"ad","Merkenbach","Dillkreis","Hessen-Nassau","j","j","j","j",NA,"detected","","",450392.289410657,5611840.24436118,"detected","",450392.2894,5611840.244,""
"205",293,"124",30,7,"ac","Heiligenborn","Dillkreis","Hessen-Nassau","j","j","j",NA,NA,"detected","","",444713.241599517,5610273.49402145,"detected","",444713.2416,5610273.494,""
"206",294,"124",30,12,"ac","Seilhofen","Dillkreis","Hessen-Nassau","j","j","j",NA,NA,"detected","","",444007.307014861,5608401.58609736,"detected","",444007.307,5608401.586,""
"207",295,"124",30,15,"a","Edingen","Wetzlar","Hessen-Nassau","j",NA,"j","j",NA,"detected","","",452035.944679005,5609144.89703496,"detected","",452035.9447,5609144.897,""
"1147",296,"124",30,24,"a","Holzhausen","Wetzlar","Hessen-Nassau",NA,NA,"j",NA,NA,"multiple entires detected","","",999,999,"not an unique name","prev. not unique",449237.3406,5604989.944,"found"
"936",297,"124",33,4,"d","Steinen","Unterwesterwaldkreis","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",415751.559497568,5603151.79803144,"detected","",415751.5595,5603151.798,""
"955",298,"124",33,8,"a","Rückeroth","Unterwesterwaldkreis","Hessen-Nassau","j","j","j","j",NA,"detected","","",411041.860310892,5601494.4012552,"detected","",411041.8603,5601494.401,""
"973",299,"124",33,11,"ad","Brückrachdorf","Neuwied","Rheinprovinz","j","j","j",NA,NA,"detected","","",406645.370495711,5599690.98106411,"detected","",406645.3705,5599690.981,""
"963",300,"124",33,12,"d","Krümmel","Unterwesterwaldkreis","Hessen-Nassau","j","j","j","j",NA,"detected","","",409480.922327787,5598896.20354404,"detected","",409480.9223,5598896.204,""
"924",301,"124",33,15,"c","Ewighausen","Oberwesterwaldkreis","Hessen-Nassau","j","j","j","j",NA,"detected","","",416863.529559537,5598674.21124132,"detected","",416863.5296,5598674.211,""
"937",302,"124",33,23,"b","Vielbach","Unterwesterwaldkreis","Hessen-Nassau","j","j","j","j",NA,"detected","","",412901.987030293,5595735.38510039,"detected","",412901.987,5595735.385,""
"914",303,"124",34,6,"a","Wölferlingen","Unterwesterwaldkreis","Hessen-Nassau","j","j","j","j",NA,"detected","","",418661.451602409,5601715.69804116,"detected","",418661.4516,5601715.698,""
"860",304,"124",34,13,"ao","Kaden","Oberwesterwaldkreis","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",423072.215244286,5600081.12885156,"detected","",423072.2152,5600081.129,""
"873",305,"124",34,21,"dr","Oberahr","Oberwesterwaldkreis","Hessen-Nassau","j","j","j","j",NA,"detected","","",419754.003432818,5595315.06623678,"detected","",419754.0034,5595315.066,""
"964",306,"124",34,23,"ad","Herschbach","Unterwesterwaldkreis","Hessen-Nassau","j","j","j","j",NA,"detected","","",410789.326861785,5603311.6077014,"detected","",410789.3269,5603311.608,""
"789",307,"124",35,3,"d","Mittelhofen","Oberwesterwaldkreis","Hessen-Nassau","j","j","j",NA,NA,"detected","","",436622.96209245,5602636.02755376,"detected","",436622.9621,5602636.028,""
"208",308,"124",35,10,"ao","Mengerskirchen","Oberlahnkreis","Hessen-Nassau","j",NA,NA,NA,NA,"detected","","",440104.451745558,5601761.11390154,"detected","",440104.4517,5601761.114,""
"1012",309,"124",35,11,"c","Berzhahn ","Oberwesterwaldkreis","Hessen-Nassau","j","j","j",NA,NA,"not detected","Berzhahn","Westerwald",999,999,"not detected","",999,999,""
"209",310,"124",35,12,"c","Langendernbach","Limburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",432226.422692494,5598909.75401032,"detected","",432226.4227,5598909.754,""
"210",311,"124",35,15,"cl","Waldernbach","Oberlahnkreis","Hessen-Nassau",NA,"j","j","j",NA,"detected","","",439312.252327424,5598789.84116106,"detected","",439312.2523,5598789.841,""
"211",312,"124",35,24,"ad","Lahr","Limburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",438276.312059947,5595665.84699277,"detected","",438276.3121,5595665.847,""
"212",313,"124",36,9,"d","Bissenberg","Wetzlar","Hessen-Nassau","j","j","j","j",NA,"detected","","",450805.905593564,5600148.76248378,"detected","",450805.9056,5600148.762,""
"213",314,"124",36,12,"ao","Dillhausen","Oberlahnkreis","Hessen-Nassau",NA,NA,NA,"j",NA,"detected","","",444519.5289192,5599966.70472749,"detected","",444519.5289,5599966.705,""
"1148",315,"124",36,15,"c","Stockhausen","Wetzlar","Hessen-Nassau","j","j","j",NA,NA,"multiple entires detected","","",999,999,"not an unique name","prev. not unique",452044.6354,5599247.692,"found"
"214",316,"124",36,16,"d","Barig-Selbenhausen","Oberlahnkreis","Hessen-Nassau",NA,NA,"j","j",NA,"detected","","",443165.150353781,5596589.39870488,"detected","",443165.1504,5596589.399,""
"1149",317,"124",36,24,"ao","Selters","Oberlahnkreis","Hessen-Nassau","j","j","j","j",NA,"multiple entires detected","","",999,999,"not an unique name","prev. not unique",449642.6739,5596312.14,"found"
"1150",318,"125",1,11,"a","Holzhausen","Wittgenstein","Westfalen","j","j","j","j",NA,"multiple entires detected","","",999,999,"not an unique name","prev. not unique",439442.0004,5621007.958,"found"
"732",319,"125",1,14,"c","Puderbach","Wittgenstein","Westfalen","j","j","j","j",NA,"detected","","",461027.787112392,5644355.65541475,"detected","",461027.7871,5644355.655,""
"814",320,"125",1,21,"bd","Herbertshausen","Wittgenstein","Westfalen",NA,NA,NA,"j",NA,"detected","","",455024.000686822,5641412.74645598,"detected","",455024.0007,5641412.746,""
"1242",321,"125",1,24,"br","Wallau","Biedenkopf","Hessen-Nassau","j","j","j","j",NA,"detected","","",999,999,"not an unique name","prev. not unique",463076.2068,5641983.062,"found"
"1013",322,"125",2,3,"d","Holzhausen ","Biedenkopf","Hessen-Nassau","j","j","j","j",NA,"not detected","Holzhausen an der Eder","Hatzfeld",999,999,"not detected","",999,999,""
"1151",323,"125",2,13,"ao","Eifa","Biedenkopf","Hessen-Nassau",NA,"j",NA,NA,NA,"multiple entires detected","","",999,999,"not an unique name","prev. not unique",470646.0285,5645826.893,"found"
"215",324,"125",2,20,"ar","Niederasphe","Marburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",476449.411023509,5643328.51172753,"detected","",476449.411,5643328.512,""
"216",325,"125",3,6,"c","Wollmar","Marburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",477693.535547106,5646714.75105782,"detected","",477693.5355,5646714.751,""
"1152",326,"125",3,22,"ac","Todenhausen","Marburg","Hessen-Nassau","j","j","j","j",NA,"multiple entires detected","","",999,999,"multiple entires detected","",479238.3865,5641492.847,"found"
"217",327,"125",4,3,"c","Lehnhausen","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",494441.039200703,5648404.4666621,"detected","",494441.0392,5648404.467,""
"1243",328,"125",4,9,"d","Gemünden","Frankenberg","Hessen-Nassau","j",NA,NA,NA,NA,"detected","","",999,999,"not an unique name","prev. not unique",497858.5394,5646711.633,"found"
"218",329,"125",4,15,"c","Schiffelbach","Marburg","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",499515.309578472,5644264.74584483,"detected","",499515.3096,5644264.746,""
"219",330,"125",4,19,"cl","Wohra","Marburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",496254.785480938,5642664.75711648,"detected","",496254.7855,5642664.757,""
"220",331,"125",5,3,"ad","Densberg","Fritzlar-Homberg","Hessen-Nassau","j","j","j",NA,NA,"detected","","",506547.836142333,5649028.36414701,"detected","",506547.8361,5649028.364,""
"221",332,"125",5,7,"cu","Moischeid","Ziegenhain","Hessen-Nassau","j","j","j","j",NA,"detected","","",503454.83703283,5646089.60423165,"detected","",503454.837,5646089.604,""
"222",333,"125",5,9,"b","Hundshausen","Fritzlar-Homberg","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",509927.011709721,5647210.00072584,"detected","",509927.0117,5647210.001,""
"223",334,"125",5,13,"b","Sebbeterode","Ziegenhain","Hessen-Nassau","j","j","j","j",NA,"detected","","",507114.243812254,5645414.99801993,"detected","",507114.2438,5645414.998,""
"1153",335,"125",5,18,"du","Sachsenhausen","Ziegenhain","Hessen-Nassau","j","j","j","j",NA,"multiple entires detected","","",999,999,"not an unique name","prev. not unique",506921.7582,5642301.056,"found"
"1244",336,"125",6,3,"d","Neuenhain","Fritzlar-Homberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",999,999,"not an unique name","prev. not unique",999,999,"not found (maybe â€œNeuenhain (neuental)â€)"
"224",337,"125",6,15,"ao","Spieskappel","Ziegenhain","Hessen-Nassau",NA,NA,"j","j",NA,"detected","","",522436.748144993,5645814.55430726,"detected","",522436.7481,5645814.554,""
"225",338,"125",6,16,"d","Dittershausen","Ziegenhain","Hessen-Nassau",NA,NA,"j",NA,NA,"detected","","",513554.875483545,5642514.31707492,"detected","",513554.8755,5642514.317,""
"226",339,"125",6,19,"c","Leimsfeld","Ziegenhain","Hessen-Nassau","j","j",NA,"j",NA,"detected","","",519812.470601647,5643412.96143018,"detected","",519812.4706,5643412.961,""
"815",340,"125",7,1,"bl","Banfe","Wittgenstein","Westfalen","j","j","j",NA,NA,"detected","","",454496.086999746,5640527.67589594,"detected","",454496.087,5640527.676,""
"227",341,"125",7,13,"d","Niederdieten","Biedenkopf","Hessen-Nassau","j","j","j","j",NA,"detected","","",460673.352939806,5635584.07213152,"detected","",460673.3529,5635584.072,""
"228",342,"125",7,16,"c","Mandeln","Dillkreis","Hessen-Nassau","j","j","j","j",NA,"detected","","",453455.72798019,5633475.13493173,"detected","",453455.728,5633475.135,""
"229",343,"125",7,23,"c","Oberhörlen","Biedenkopf","Hessen-Nassau","j","j","j","j",NA,"detected","","",459192.629826935,5631614.28967493,"detected","",459192.6298,5631614.29,""
"230",344,"125",8,1,"b","Biedenkopf","Biedenkopf","Hessen-Nassau","j","j","j","j",NA,"detected","","",466593.236817716,5640268.88249403,"detected","",466593.2368,5640268.882,""
"231",345,"125",8,13,"co","Buchenau","Biedenkopf","Hessen-Nassau","j","j","j","j",NA,"detected","","",554128.544438824,5625808.30915998,"detected","",999,999,"false detected"
"232",346,"125",8,21,"a","Hommertshausen","Biedenkopf","Hessen-Nassau","j","j","j","j",NA,"detected","","",465348.034743248,5632759.55096253,"detected","",465348.0347,5632759.551,""
"7",347,"125",8,25,"ar","Caldern","Marburg","Hessen-Nassau","j","j","j","j",NA,"not detected","Kaldern","",476372.231070821,5632530.99008626,"detected","",476372.2311,5632530.99,""
"233",348,"125",9,4,"al","Oberrosphe","Marburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",484174.938139114,5640052.0381184,"detected","",484174.9381,5640052.038,""
"234",349,"125",9,13,"bd","Göttingen","Marburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",484106.040319459,5635915.51193775,"detected","",484106.0403,5635915.512,""
"235",350,"125",9,25,"bo","Ginseldorf","Marburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",487298.003213456,5632081.3941788,"detected","",487298.0032,5632081.394,""
"1154",351,"125",10,6,"b","Schwarzenborn","Marburg","Hessen-Nassau","j","j","j","j",NA,"multiple entires detected","","",999,999,"multiple entires detected","",490167.9362,5638035.583,"found"
"236",352,"125",10,10,"ac","Wolferode","Marburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",499163.064470622,5637937.38114179,"detected","",499163.0645,5637937.381,""
"237",353,"125",10,13,"ao","Rauschenberg","Marburg","Hessen-Nassau","j",NA,NA,NA,NA,"detected","","",494097.901377586,5636750.80898169,"detected","",494097.9014,5636750.809,""
"238",354,"125",10,14,"c","Burgholz","Marburg","Hessen-Nassau","j",NA,NA,NA,NA,"detected","","",496608.615179482,5635725.50966082,"detected","",496608.6152,5635725.51,""
"239",355,"125",10,22,"bd","Stausebach","Marburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",493071.63649697,5632070.5021243,"detected","",493071.6365,5632070.502,""
"240",356,"125",11,8,"bo","Mengsberg","Ziegenhain","Hessen-Nassau","j","j","j","j",NA,"detected","","",507088.136164113,5638820.6467289,"detected","",507088.1362,5638820.647,""
"241",357,"125",11,12,"cd","Speckswinkel","Marburg","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",504144.465753421,5635448.05222674,"detected","",504144.4658,5635448.052,""
"1155",358,"125",11,21,"cr","Allendorf","Marburg","Hessen-Nassau",NA,NA,"j","j",NA,"multiple entires detected","","",999,999,"not an unique name","prev. not unique",999,999,"there are at least â€œAllendorf a.d. Lahnâ€ (bei GieÃŸen), â€œAllendorf (Lumda)â€ (Kreis GieÃŸen, nÃ¤her an Marburg), â€œAllendorf (Eder)â€ (Kreis Frankenberg)"
"242",359,"125",12,8,"b","Steina","Ziegenhain","Hessen-Nassau","j","j","j","j",NA,"detected","","",518544.925845621,5638326.27617543,"detected","",518544.9258,5638326.276,""
"1156",360,"125",12,17,"cr","Merzhausen","Ziegenhain","Hessen-Nassau","j","j","j","j",NA,"multiple entires detected","","",999,999,"multiple entires detected","",515697.6081,5633368.389,"found"
"1157",361,"125",13,7,"cd","Hirzenhain","Dillkreis","Hessen-Nassau",NA,NA,"j","j",NA,"multiple entires detected","","",999,999,"multiple entires detected","",456604.4124,5627787.478,"found"
"243",362,"125",13,8,"b","Frechenhausen","Biedenkopf","Hessen-Nassau",NA,NA,NA,"j",NA,"detected","","",460190.566257489,5628581.76256195,"detected","",460190.5663,5628581.763,""
"244",363,"125",13,15,"a","Bottenhorn","Biedenkopf","Hessen-Nassau",NA,"j",NA,NA,NA,"detected","","",463266.547758935,5627124.62246613,"detected","",463266.5478,5627124.622,""
"245",364,"125",13,19,"a","Wallenfels","Dillkreis","Hessen-Nassau","j",NA,NA,NA,NA,"detected","","",460856.597375481,5625318.40703376,"detected","",460856.5974,5625318.407,""
"1158",365,"125",13,23,"c","Oberndorf","Dillkreis","Hessen-Nassau","j","j","j","j",NA,"multiple entires detected","","",999,999,"multiple entires detected","",458440.9605,5622123.273,"found"
"246",366,"125",14,12,"b","Runzhausen","Biedenkopf","Hessen-Nassau","j","j","j",NA,NA,"detected","","",469165.121852306,5627008.53940322,"detected","",469165.1219,5627008.539,""
"247",367,"125",14,19,"cd","Rüchenbach","Biedenkopf","Hessen-Nassau","j","j","j","j",NA,"detected","","",473619.572209556,5624226.27769888,"detected","",473619.5722,5624226.278,""
"1159",368,"125",14,22,"au","Weidenhausen","Biedenkopf","Hessen-Nassau","j","j","j","j",NA,"multiple entires detected","","",999,999,"multiple entires detected","",467475.9486,5622870.933,"found"
"1014",369,"125",14,24,"d","Nanzhausen","Marburg","Hessen-Nassau","j","j","j","j",NA,"not detected","Nanzhausen","Lohra",999,999,"not detected","",999,999,""
"1160",370,"125",14,25,"co","Willershausen","Marburg","Hessen-Nassau",NA,"j",NA,NA,NA,"multiple entires detected","","",999,999,"not an unique name","prev. not unique",475545.741,5622938.077,"found"
"248",371,"125",15,6,"b","Elnhausen","Marburg","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",478096.063656134,5628920.49739712,"detected","",478096.0637,5628920.497,""
"249",372,"125",15,12,"c","Cyriaxweimar","Marburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",480021.634849573,5625810.23960653,"detected","",480021.6348,5625810.24,""
"1015",373,"125",15,18,"b","Cappel","Marburg","Hessen-Nassau","j","j","j","j",NA,"not detected","Kappel","",999,999,"multiple entires detected","",483663.6589,5624974.671,"found"
"250",374,"125",15,24,"bd","Beltershausen","Marburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",486662.284214386,5623031.26057252,"detected","",486662.2842,5623031.261,""
"251",375,"125",16,2,"a","Niederwald","Marburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",491443.003984118,5630760.75570467,"detected","",491443.004,5630760.756,""
"252",376,"125",16,3,"c","Kirchhain","Marburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",494428.244135857,5629911.58004959,"detected","",494428.2441,5629911.58,""
"253",377,"125",16,4,"ao","Langenstein","Marburg","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",497084.55654361,5631243.82085934,"detected","",497084.5565,5631243.821,""
"254",378,"125",16,15,"a","Niederklein","Marburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",499985.90408849,5626939.55625758,"detected","",499985.9041,5626939.556,""
"255",379,"125",16,21,"b","Wittelsberg","Marburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",489773.05395979,5623168.79564211,"detected","",489773.054,5623168.796,""
"1161",380,"125",16,23,"ao","Mardorf","Marburg","Hessen-Nassau","j","j","j","j",NA,"multiple entires detected","","",999,999,"multiple entires detected","",494181.7652,5623651.294,"found"
"8",381,"125",16,24,"d","Nieder-Ofleiden","Alsfeld","Hessen","j","j","j","j",NA,"not detected","Nieder Ofleiden","",497904.975516391,5622503.11857361,"detected","",497904.9755,5622503.119,""
"256",382,"125",17,4,"au","Gleimenhain","Alsfeld","Hessen","j","j","j","j",NA,"detected","","",508219.591617275,5630348.76940154,"detected","",508219.5916,5630348.769,""
"1162",383,"125",17,9,"bu","Wahlen","Alsfeld","Hessen","j","j","j","j",NA,"multiple entires detected","","",999,999,"multiple entires detected","",508906.2573,5628326.049,"found"
"257",384,"125",17,17,"bu","Lehrbach","Alsfeld","Hessen","j","j","j","j",NA,"detected","","",503962.438347319,5624983.94757173,"detected","",503962.4383,5624983.948,""
"258",385,"125",17,18,"du","Kirtorf","Alsfeld","Hessen","j","j","j","j",NA,"detected","","",507418.592925919,5624031.4025522,"detected","",507418.5929,5624031.403,""
"259",386,"125",17,21,"b","Dannenrod","Alsfeld","Hessen","j",NA,NA,NA,NA,"detected","","",501819.703096537,5623125.73047014,"detected","",501819.7031,5623125.73,""
"260",387,"125",18,3,"ar","Holzburg","Ziegenhain","Hessen-Nassau","j","j","j","j",NA,"detected","","",518213.670020406,5630496.46502508,"detected","",518213.67,5630496.465,""
"1016",388,"125",18,8,"au","Heidelbach ","Alsfeld","Hessen","j","j","j","j",NA,"not detected","Heidelbach","Alsfeld",999,999,"not detected","",999,999,""
"261",389,"125",18,11,"du","Seibelsdorf","Alsfeld","Hessen","j","j","j","j",NA,"detected","","",513972.529887574,5625657.243069,"detected","",513972.5299,5625657.243,""
"262",390,"125",18,16,"c","Ohmes","Alsfeld","Hessen","j","j","j","j",NA,"detected","","",512319.604598804,5624062.9152699,"detected","",512319.6046,5624062.915,""
"263",391,"125",18,19,"dl","Eudorf","Alsfeld","Hessen",NA,"j","j",NA,NA,"detected","","",520612.627955112,5624077.97425757,"detected","",520612.628,5624077.974,""
"264",392,"125",18,20,"bl","Elbenrod","Alsfeld","Hessen","j","j","j",NA,NA,"detected","","",523328.974240908,5625357.11054476,"detected","",523328.9742,5625357.111,""
"265",393,"125",18,22,"a","Angenrod","Alsfeld","Hessen","j","j","j","j",NA,"detected","","",514556.936054106,5623390.35924719,"detected","",514556.9361,5623390.359,""
"266",394,"125",18,22,"b","Leusel","Alsfeld","Hessen","j","j","j","j",NA,"detected","","",516300.08233512,5623039.67375894,"detected","",516300.0823,5623039.674,""
"267",395,"125",19,16,"du","Ballersbach","Dillkreis","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",455295.924335482,5614876.44532139,"detected","",455295.9243,5614876.445,""
"268",396,"125",19,18,"ao","Offenbach","Dillkreis","Hessen-Nassau","j","j","j","j",NA,"detected","","",458615.192821218,5616506.07006533,"detected","",458615.1928,5616506.07,""
"269",397,"125",20,4,"d","Lohra","Marburg","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",473974.853100748,5620521.488119,"detected","",473974.8531,5620521.488,""
"1017",398,"125",20,8,"dr","Rollshausen ","Marburg","Hessen-Nassau",NA,"j","j",NA,NA,"not detected","Rollshausen","Lohra",999,999,"not detected","",999,999,""
"270",399,"125",20,14,"a","Altenvers","Marburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",473134.243226803,5617612.28091436,"detected","",473134.2432,5617612.281,""
"271",400,"125",20,16,"br","Wilsbach","Biedenkopf","Hessen-Nassau","j","j","j",NA,NA,"detected","","",466926.932252312,5616369.05045641,"detected","",466926.9323,5616369.05,""
"1163",401,"125",21,7,"b","Roth","Marburg","Hessen-Nassau","j","j","j","j",NA,"multiple entires detected","","",999,999,"multiple entires detected","",480808.136,5619224.226,"found"
"272",402,"125",21,9,"cr","Hachborn","Marburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",485204.240721912,5618754.00916318,"detected","",485204.2407,5618754.009,""
"273",403,"125",21,10,"ao","Ebsdorf","Marburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",486683.350796099,5620228.97882927,"detected","",486683.3508,5620228.979,""
"274",404,"125",21,11,"al","Oberwalgern","Marburg","Hessen-Nassau","j","j","j","j",NA,"detected","","",476149.689757879,5617719.97200223,"detected","",476149.6898,5617719.972,""
"275",405,"125",21,11,"d","Fronhausen","Marburg","Hessen-Nassau","j","j","j",NA,NA,"detected","","",478448.514540281,5617009.42930922,"detected","",478448.5145,5617009.429,""
"1164",406,"125",21,22,"ab","Odenhausen","Wetzlar","Hessen-Nassau","j","j","j","j",NA,"multiple entires detected","","",999,999,"not an unique name","prev. not unique",479063.2324,5613570.873,"found"
"1018",407,"125",21,25,"a","Allendorf ","Gießen","Hessen","j","j","j","j",NA,"not detected","Allendorf an der Lunda","Lumda",999,999,"not detected","",999,999,""
"1165",408,"125",22,4,"c","Haarhausen","Alsfeld","Hessen","j",NA,NA,NA,NA,"multiple entires detected","","",999,999,"multiple entires detected","",496563.663,5620891.444,"found"
"758",409,"125",22,10,"bl","Homberg","Alsfeld","Hessen","j","j","j","j",NA,"detected","","",436750.539965283,5610274.60179601,"detected","",999,999,"false detected"
"276",410,"125",22,14,"ao","Deckenbach","Alsfeld","Hessen","j","j","j","j",NA,"detected","","",496293.613156151,5618189.50288396,"detected","",496293.6132,5618189.503,""
"1019",411,"125",22,19,"b","Schadenbach ","Alsfeld","Hessen","j","j","j",NA,NA,"not detected","Schadenbach","Homberg",999,999,"not detected","",999,999,""
"277",412,"125",22,22,"cl","Kesselbach","Gießen","Hessen","j","j","j","j",NA,"detected","","",491060.597545238,5613058.4795479,"detected","",491060.5975,5613058.48,""
"278",413,"125",23,2,"a","Appenrod","Alsfeld","Hessen","j",NA,NA,NA,NA,"detected","","",503132.509621201,5621580.686285,"detected","",503132.5096,5621580.686,""
"279",414,"125",23,5,"ad","Heimertshausen","Alsfeld","Hessen",NA,"j","j","j",NA,"detected","","",511282.130156556,5621191.62041721,"detected","",511282.1302,5621191.62,""
"1245",415,"125",23,14,"co","Ehringshausen","Alsfeld","Hessen","j","j","j","j",NA,"detected","","",999,999,"not an unique name","prev. not unique",999,999,"not found"
"1020",416,"125",23,16,"al","Büßfeld ","Alsfeld","Hessen","j",NA,NA,NA,NA,"not detected","Büßfeld","Homberg",999,999,"not detected","",999,999,""
"9",417,"125",23,17,"b","Nieder-Gemünden","Alsfeld","Hessen","j","j","j","j",NA,"not detected","Nieder Gemünden","",504061.224196387,5615810.12559266,"detected","",504061.2242,5615810.126,""
"280",418,"125",23,23,"d","Hainbach","Alsfeld","Hessen","j","j","j","j",NA,"detected","","",507010.187966413,5613055.54040475,"detected","",507010.188,5613055.54,""
"281",419,"125",24,1,"b","Billertshausen","Alsfeld","Hessen","j","j","j","j",NA,"detected","","",514152.669167101,5621621.17092189,"detected","",514152.6692,5621621.171,""
"1166",420,"125",24,6,"b","Zell","Alsfeld","Hessen","j","j","j","j",NA,"multiple entires detected","","",999,999,"multiple entires detected","",999,999,"not found"
"282",421,"125",24,14,"cd","Hopfgarten","Alsfeld","Hessen","j","j","j","j",NA,"detected","","",520945.094477894,5616784.56554351,"detected","",520945.0945,5616784.566,""
"10",422,"125",24,17,"bl","Nieder-Breidenbach","Alsfeld","Hessen","j","j","j","j",NA,"not detected","Nieder Breidenbach","",515898.937561411,5615788.23555762,"detected","",515898.9376,5615788.236,""
"1021",423,"125",24,18,"cl","Strebendorf ","Alsfeld","Hessen","j","j","j","j",NA,"not detected","Strebendorf","Romrod",999,999,"not detected","",999,999,""
"283",424,"125",24,20,"b","Hergersdorf","Alsfeld","Hessen","j","j","j","j",NA,"detected","","",522674.998773804,5615212.74628686,"detected","",522674.9988,5615212.746,""
"284",425,"125",25,2,"du","Dreisbach","Wetzlar","Hessen-Nassau","j","j","j","j",NA,"detected","","",457116.664775444,5611180.36314385,"detected","",457116.6648,5611180.363,""
"285",426,"125",25,14,"au","Bechlingen","Wetzlar","Hessen-Nassau","j","j","j","j",NA,"detected","","",460949.860833756,5608514.89410455,"detected","",460949.8608,5608514.894,""
"286",427,"125",25,16,"dl","Daubhausen","Wetzlar","Hessen-Nassau","j",NA,NA,NA,NA,"detected","","",454081.913403644,5606135.1957955,"detected","",454081.9134,5606135.196,""
"1246",428,"125",25,17,"cd","Ehringshausen","Wetzlar","Hessen-Nassau",NA,NA,"j",NA,NA,"detected","","",999,999,"not an unique name","prev. not unique",456335.5331,5605671.144,"found"
"287",429,"125",26,1,"cr","Hohensolms","Wetzlar","Hessen-Nassau",NA,NA,"j","j",NA,"detected","","",465882.16828103,5611026.97133054,"detected","",465882.1683,5611026.971,""
"1167",430,"125",26,13,"ac","Bieber","Wetzlar","Hessen-Nassau","j","j","j","j",NA,"multiple entires detected","","",999,999,"not an unique name","prev. not unique",470602.6857,5608129.398,"found"
"288",431,"125",26,14,"d","Krofdorf","Wetzlar","Hessen-Nassau","j","j","j","j",NA,"detected","","",475650.701161092,5609104.3110184,"detected","",475650.7012,5609104.311,""
"289",432,"125",26,22,"cr","Waldgirmes","Wetzlar","Hessen-Nassau","j","j","j","j",NA,"detected","","",468201.285434711,5604062.38547894,"detected","",468201.2854,5604062.385,""
"290",433,"125",27,2,"a","Ruttershausen","Gießen","Hessen","j","j","j","j",NA,"detected","","",479538.422484502,5612212.36766806,"detected","",479538.4225,5612212.368,""
"291",434,"125",27,2,"b","Staufenberg","Gießen","Hessen","j","j","j","j",NA,"detected","","",481001.032292555,5612084.53789486,"detected","",481001.0323,5612084.538,""
"292",435,"125",27,3,"au","Mainzlar","Gießen","Hessen","j","j","j","j",NA,"detected","","",481686.517320594,5612048.73603313,"detected","",481686.5173,5612048.736,""
"293",436,"125",27,3,"cu","Daubringen","Gießen","Hessen","j","j","j","j",NA,"detected","","",481456.637379086,5611004.28068903,"detected","",481456.6374,5611004.281,""
